=========================================================
Starting log: Fri Sep  4 09:37:00 2009
=========================================================
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_handleSyncResponse:3126 			Sending packet
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::write_packet:1963 				write_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::write_packet:1963 				writing 132 bytes
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData...begin (write 132 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData: 132 bytes written
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	begin (45745)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			_receivePacketSync...begin (45745)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			validating xiotech packet...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	We received the PI_IN_PROGRESS.
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	end
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			_receivePacketSync...begin (45745)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the data... (4 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:938 				readSocketData...begin (read 4 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:942 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			validating xiotech packet...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_serialNumGetPacket:2000 			begin
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::encrypt:1094 				encrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::encrypt:1103 				encrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_handleSyncResponse:3126 			Sending packet
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::write_packet:1963 				write_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::write_packet:1963 				writing 132 bytes
